constituency_id,constituency_name,district_id,candidate_name,votes,percentage,gender,total_registered,banned_votes,votes_cast
1,Balaka Bwaila,1,IND – Drfletcher Luka Padoko,13574,56.75,1,29770,373,23921
1,Balaka Bwaila,1,DPP – Jonah Derick Pankuku,4161,17.39,1,29770,373,23921
3,Balaka Mulunguzi,1,IND – Ireen Mambala,8433,30.2,0,35035,329,27925
3,Balaka Mulunguzi,1,DPP – James Makhumula,8130,29.11,1,35035,329,27925
4,Balaka Ngwangwa,1,DPP – John Jackson Bamusi,14283,56.92,1,31743,276,25093
4,Balaka Ngwangwa,1,IND – Antony Tony Ngalande,8039,32.04,1,31743,276,25093
6,Balaka Rivirivi,1,DPP – Chifundo Makande,12964,40.54,1,39526,452,31976
6,Balaka Rivirivi,1,IND – Khalida Tuzija,12007,37.55,0,39526,452,31976
8,Balaka Ulongwe,1,DPP – Idrissa Ngunga,13603,51.92,1,33953,348,26202
8,Balaka Ulongwe,1,IND – Judith Laja Ngwira,8485,32.38,0,33953,348,26202
11,Blantyre Central,2,IND – Gerald Cornelius Tasaukadala,8016,36.86,1,26788,302,21745
11,Blantyre Central,2,DPP – Robert Mbedza,4996,22.98,1,26788,302,21745
14,Blantyre City Chichiri Misesa,2,DPP – Themba Menson Mkandawire,12462,43.9,1,35107,360,28388
14,Blantyre City Chichiri Misesa,2,IND – Louis George Ngalande,7423,26.15,1,35107,360,28388
15,Blantyre City Chigumula Bca Club Banana,3,DPP – Sameer Gaffar Suleman,22484,86.8,1,31125,332,25902
15,Blantyre City Chigumula Bca Club Banana,3,IND – Wild James Ndipo,2195,8.47,1,31125,332,25902
16,Blantyre City Chilomoni Kabula Nancholi,3,DPP – Noel Lipipa,20472,117.2,1,37250,204,17468
16,Blantyre City Chilomoni Kabula Nancholi,3,MCP – Charles Harish Joshi,4316,24.71,1,37250,204,17468
18,Blantyre City Mapanga Mpingwe Mzedi,3,DPP – Katika Justice,13443,53.14,1,30476,320,25297
18,Blantyre City Mapanga Mpingwe Mzedi,3,IND – Orphan Shaba,8597,33.98,1,30476,320,25297
19,Blantyre City Mbayani mussa Magasa,3,DPP – Masauko Golden Salinjeni,6081,34.81,1,21291,204,17468
19,Blantyre City Mbayani mussa Magasa,3,UDF – Jan-Jaap Jakobus Sonke,5375,30.77,1,21291,204,17468
20,Blantyre City Michiru chirimba,3,DPP – Lasken Vinyo Vigaro,8161,42.44,1,24117,334,19230
20,Blantyre City Michiru chirimba,3,IND – James Nephano Zuze,7543,39.23,1,24117,334,19230
22,Blantyre City Nkolokoti ndirande Matope,3,IND – John Francis Bande,8608,32.94,1,32245,259,26136
22,Blantyre City Nkolokoti ndirande Matope,3,DPP – Chipiliro Brian Mpinganjira,7192,27.52,1,32245,259,26136
